sample,n_loci,n_used_fw_reads,mean_cov,mean_cov_ns,Raw,Espece,Notes_groupe
S_23_00979,124509,1260693,10.125,10.701,5025887,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00980,123548,1808654,14.639,15.755,7430966,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00981,126108,1966495,15.594,16.824,8084400,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00982,134205,2804811,20.899,22.799,11441948,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00983,143148,3058981,21.369,23.605,12204912,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00984,118929,1195729,10.054,10.745,4775236,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00985,115415,1480189,12.825,13.54,6023640,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00986,123195,1988242,16.139,17.276,8061526,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00987,125102,1673926,13.38,14.569,6666172,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00988,141640,2172830,15.341,16.859,9090642,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00989,148180,3370977,22.749,25.687,13516926,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00990,136582,1874237,13.722,14.932,7580290,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00991,122151,2539470,20.79,22.507,10339933,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00992,129901,2633393,20.272,22.033,10658084,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00993,119334,1467645,12.299,13.144,5856465,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00994,134704,3547606,26.336,29.118,14652122,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00995,158076,2668662,16.882,19.725,10557044,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00996,124290,1350596,10.866,11.616,5484596,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00997,132159,2356080,17.828,19.528,9840306,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00998,123062,1569227,12.752,13.703,6473661,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00999,129728,2015055,15.533,16.839,8226832,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01000,120579,1235802,10.249,10.857,5132053,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01001,109280,1087290,9.95,10.52,4417608,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01002,118754,1549889,13.051,14.042,6261887,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01003,139754,4047630,28.963,32.054,16501306,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01004,130350,1617405,12.408,13.374,6612637,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01005,128361,1967887,15.331,16.561,8054361,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01006,127634,3075426,24.096,26.721,12778062,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01007,132153,3001625,22.713,25.036,12293689,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01008,143795,2894635,20.13,22.415,11687061,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01010,149929,3172014,21.157,24.493,12684736,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01011,125465,1411413,11.249,11.978,5724877,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01012,101492,952371,9.384,9.83,3916193,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01013,128063,2603769,20.332,22.262,10664207,undatum,Groupe_EGSL_Portneuf_Offshore
