sample,n_loci,n_used_fw_reads,mean_cov,mean_cov_ns,Raw,Espece,Notes_groupe,Region,Site,Shore
S_23_00979,126006,1272244,10.097,10.666,5025887,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00980,125093,1828147,14.614,15.721,7430966,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00981,127577,1985801,15.566,16.787,8084400,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00982,139457,2871873,20.593,22.719,11441948,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00983,144851,3094142,21.361,23.586,12204912,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00984,116829,1185952,10.151,10.713,4775236,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00985,116729,1493410,12.794,13.485,6023640,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00986,124650,2007455,16.105,17.222,8061526,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00987,126886,1691828,13.333,14.52,6666172,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00988,157103,2271676,14.46,16.796,9090642,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00989,150213,3412133,22.715,25.661,13516926,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00990,138273,1895134,13.706,14.899,7580290,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00991,123868,2569193,20.741,22.444,10339933,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00992,131582,2660548,20.22,21.964,10658084,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00993,117273,1454128,12.4,13.102,5856465,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00994,141760,3638111,25.664,29.078,14652122,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00995,149512,2622792,17.542,19.684,10557044,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00996,130093,1388669,10.674,11.582,5484596,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00997,141182,2429216,17.206,19.476,9840306,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00998,124851,1586405,12.706,13.643,6473661,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
S_23_00999,131399,2039356,15.52,16.816,8226832,undatum,Groupe_EGSL_Portneuf_Offshore,EGSL,Portneuf,Offshore
