

--cv /media/genyoda/Extra_Storage/Projets/Buccin_ddRAD_2024/./00_Data/06a_Filtering.denovo.buccinum.M1n1/A_90K/08_Final/populations.23405snps.431ind.single.final.bed 15 -j8


****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 8 threads.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 431x23405
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 2.89	Loglikelihood: -8.31365e+06	(delta): 5.43074e+06
2 (EM) 	Elapsed: 2.893	Loglikelihood: -7.9699e+06	(delta): 343747
3 (EM) 	Elapsed: 2.893	Loglikelihood: -7.9201e+06	(delta): 49800.5
4 (EM) 	Elapsed: 2.894	Loglikelihood: -7.89438e+06	(delta): 25723.4
5 (EM) 	Elapsed: 2.903	Loglikelihood: -7.87373e+06	(delta): 20651.7
Initial loglikelihood: -7.87373e+06
Starting main algorithm
1 (QN/Block) 	Elapsed: 4.618	Loglikelihood: -7.50216e+06	(delta): 371565
2 (QN/Block) 	Elapsed: 4.629	Loglikelihood: -7.41595e+06	(delta): 86208.3
3 (QN/Block) 	Elapsed: 4.686	Loglikelihood: -7.38334e+06	(delta): 32610.4
4 (QN/Block) 	Elapsed: 4.782	Loglikelihood: -7.36227e+06	(delta): 21072.3
5 (QN/Block) 	Elapsed: 4.748	Loglikelihood: -7.35368e+06	(delta): 8593.63
6 (QN/Block) 	Elapsed: 4.775	Loglikelihood: -7.34175e+06	(delta): 11920.7
7 (QN/Block) 	Elapsed: 4.792	Loglikelihood: -7.3341e+06	(delta): 7651.71
8 (QN/Block) 	Elapsed: 4.711	Loglikelihood: -7.3272e+06	(delta): 6907.08
9 (QN/Block) 	Elapsed: 4.74	Loglikelihood: -7.32401e+06	(delta): 3188.72
